Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
1183,TEAM INDIA ENTREPRENEURS (TIE),VJN-4-00333-2016-17,Trust,"65/2 Nanjappa Industrial Estate Magadi Main Road , Bengaluru, BENGALURU URBAN (Karnataka) - 560079","Agriculture, Differently Abled, Education & Literacy, Environment & Forests, Food Processing",ALL,info@teamindiaentrepreneurs.org,https://www.teamindiaentrepreneurs.org/
1184,TECHAVANT GARDE PRIVATE LIMITED,124567,Section 8 Company,"NO 104, RANKA PLAZA 157 WHEELER ROAD, FRAZER TOWN, BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare",ALL,ping@t-a-g.in,
1185,THANAL CHARITABLE TRUST,Blr IV 69/09-10,Trust,"701, Prestige Clarkeville, 9, Clarke Road, Richards Town, Bangalore- 560084 , Bangalore, BENGALURU URBAN (Karnataka) - 560084","Differently Abled, Education & Literacy",ALL,ysudeesh@yahoo.com,
1186,THAVE FOUNDATION,BMH-4-00182-2021-22,Trust,"NO 983,20TH CROSS,5TH MAIN,7TH SECTOR,HSR LAYOUT,BANGALORE 560102 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560102","Biotechnology, Differently Abled, Aged/Elderly, Health & Family Welfare, Information & Communication Technology",ALL,femras@gmail.com,
1187,THAYIYA MADILU,SHV-4-00034,Trust,"No.11, Ground floor, 8th Main Road Viveknagar Further extension, , Bangalore, BENGALURU URBAN (Karnataka) - 560047","Children, Differently Abled, Disaster Management, Education & Literacy, Environment & Forests",ALL,Indrofoundation@gmail.com,https://www.thayiyamadilu.org/
1188,The Association For The Mentally Challenged,35 of 1962-63,Society,"The Association For The Mentally Challenged, ff Hosur Road, Near Kidwai Cancer Hospital, Bangalre -560029 , Bangalore, BENGALURU URBAN (Karnataka) - 560029",Differently Abled,ALL,amc.bangalore@gmail.com,http://www.amc.org/
1189,The Association of People with Disability,2179/59-60,Society,"6th Cross, Hutchins Road, Off Hennur Road, Lingarajapuram, St. Thomas Town Post, Bengaluru, Karnataka 560084 , Bangalore, BENGALURU URBAN (Karnataka) - 560084",Differently Abled,SALEM,contact@apd-india.org,http://www.apd-india.org/
1190,THE ASSOCIATION OF THE DEAF,NO.S.29/69-70,Society,"No. 28/2, Haines Road, Near Bamboo Bazaar Road , Bengaluru, BENGALURU URBAN (Karnataka) - 560051",Differently Abled,ALL,caindividual01@gmail.com,
1191,THE AURA FOUNDATION,AAFTT2968R,Trust,"No, 776, 3rd Floor, 4th Block, 80 Feet Road, Koramangala, Bengaluru-560034 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560034","Children, Education & Literacy, Aged/Elderly, Urban Development & Poverty Alleviation, Women's Development & Empowerment",BENGALURU URBAN,sharukhan@rediffmail.com,
1192,The Bangalore Pallottine Society,35/73-74,Society,"Pallotti Nilaya Road chelikere, Kalyan Nagar , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",ALL,abvmbursar@gmail.com,
1193,THE BODHI TREE FOUNDATION,BNG(U)BSK3672021-22,Trust,"B 1401, Mantri Tranquil apartment Gubbalala,, off kanakpura road , Bengaluru, BENGALURU URBAN (Karnataka) - 560061","Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water",ALL,deepti.thebodhitree@gmail.com,http://www.thebodhitree.world/
1194,THE BRIDGE SEVA FOUNDATION,BNS-4-00607-2016-17,Trust,"NO 416 2ND FLOOR 5TH A MAIN 2ND CROSS HRBR LAYOUT KALYAN NAGAR BANGALORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Dalit Upliftment, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU RURAL,steger.samuel@gmail.com,
1195,THE BRIGHT MINED FOUNDATION,B-IV/773/24-25,Trust,"No 2133, EKKA, 31st Cross, 6th Main D Group Poornananda Layout, Gidada Konenahalli, Bangalore - 560091 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560091","Children, Differently Abled, Education & Literacy, Information & Communication Technology, Skill Development",BENGALURU URBAN,acarus.books@gmail.com,
1196,THE COORG FOUNDATION,627/94.95,Trust,"Registered office 7, Railway Parallel Road. Kumara Park West,Bangalore560020 , Bangalore, BENGALURU URBAN (Karnataka) - 560020",Differently Abled,ALL,thecoorgfoundation@tataconsumer.com,
1197,THE CROSS MINISTRIES FOUNDATION TRUST,KCH-4-00103-2010-11 en,Trust,"4/5 10 cross karamchand layout lingarajapuram Bangalore-560084 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560084","Education & Literacy, Human Rights, Science & Technology, Skill Development, Religious",BENGALURU URBAN,djjoseph500@gmail.com,
1198,THE DAUGHTERS OF CHARITY OF ST.VINCENT DE PAUL,131/1997-98,Society,"The Daughters of Charity of St. Vincent De Paul 5, Banaswadi Road, Cooke Town, Bangalore-560005 Karnataka , Bangalore, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,economsindia@gmail.com,
1199,The Deaf Aid Society,S.105/67-68,Society,"Deaf Aid Society Rustum Bagh, HAL Road, Bangalore560017 , Bangalore, BENGALURU URBAN (Karnataka) - 560017","Differently Abled, Education & Literacy",ALL,secretary.deafaidsociety@gmail.com,https://deafaidsociety.in/
1200,The Ecumencial Chrisitian Center,1606 of 1966,Section 8 Company,"ECUMENICAL CHRISTIAN CENTER (ECC) Post Bag 11, Whitefield, Bengaluru-560066, Karnataka, INDIA, BENGALURU URBAN (Karnataka)","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,director@eccbangalore.org,http://www.eccbengaluru.org/
1201,THE FISHERMEN TRUST,1033/06-07,Trust,"31/2 ,3RD CROSS,MOORE ROAD,FRAZER TOWN,BANGALORE-560005 , BANGALORE, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Education & Literacy, Nutrition, Sports",ALL,thefishermentrust@gmail.com,http://www.thefishermentrust.co.in/
1202,The Good Sam Foundation,BNS-4-00191-2016-17,Trust,"Unit No. 301, Elegant Spencer Apartment 24/3, Spencer Road, Frazer Town, , Bangalore, BENGALURU URBAN (Karnataka) - 560005",Differently Abled,ALL,david@goodsam.in,https://www.goodsam.in/
1203,THE GREEN INDIA FOUNDATION,BSG-4-00605-2024-25,Trust,"9/2, MOTHI NAGAR, KHALASIPALYA-560002 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560002","Art & Culture, Disaster Management, Education & Literacy, Environment & Forests, Health & Family Welfare",BENGALURU URBAN,thegreenindiafoundation@gmail.com,
1204,The Hell Foundation,BK-IV-86/17-18,Trust,"The Hell Foundation (the House on Earth to Live and Love) Flat No G1 654, street No.2, Opposite K.R Gardens, Near IBMR College, Koramangala, 8th Block, Bangalore-560095 , Bangalore, BENGALURU URBAN (Karnataka) - 560095","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,thehellfoundation@gmail.com,
1205,The Hope Foundation,SHV-4-00292-2007-08,Trust,"No 222, 2nd A Cross, HRBR Layout , Bangalore, BENGALURU URBAN (Karnataka) - 560084","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Differently Abled",ALL,vincypr@gmail.com,
1206,THE IMMANUEL GOOD NEWS MINISTRIES TRUST,BDH-4-00108-2016-17,Trust,"Avalahalli Colony, State Bank of Mysore Road, Virgonagar Post, Bangalore-560 049. , Bangalore, BENGALURU URBAN (Karnataka) - 560049","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare, Human Rights",ALL,tignchurch@gmail.com,
1207,THE INCLUSION MOVEMENT,BTM-4-00054-2024-25,Trust,"No 2, Srikaram, 2nd main road, 3rd cross, Kaveri Road, Vijayashree Layout, Hulimavu , Bangalore, BENGALURU URBAN (Karnataka) - 560076","Art & Culture, Children, Differently Abled, Education & Literacy",ALL,vishnusmn@gmail.com,
1208,THE LEGENDS FOUNDATION TRUST,HBB-4-00134-2022-23,Trust,"34, Govindpura main road, muneshwara 3rd block Arabic college post , Bengaluru, BENGALURU URBAN (Karnataka) - 560045","Children, Dalit Upliftment, Differently Abled, Drinking Water, Education & Literacy",ALL,Thelegendsfoundationtrust@gmail.com,http://www.thelegendsfoundationtrust.com/
1209,THE LIFE FOUNDATION,31/BK4/Sl No: 12 of 2000,Trust,"5th Floor, West Wing, 77Degree Town Center, Sy No. 125 and 132/1, Amani Bellandurkhane Village, Off Old Airport Road, Yemlur PO, Varthur Hobli, Bengaluru East Taluk Bengaluru 560037 , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Nutrition",ALL,shital.mehta@landmarkgroup.in,
1210,The Life of Giving Charitable Trust,IV 265 19-20,Trust,"No.20/8, 2nd Floor, 5th Cross, 1st Main Road, Chinnappa Graden, Benson Town Post, , Bangalore, BENGALURU URBAN (Karnataka) - 560046","Agriculture, Art & Culture, Children, Differently Abled, Drinking Water",ALL,donate@lifeofgiving.in,http://lifeofgiving.in/
1211,THE LIGHT OF LOVE CHARITABLE SEVA TRUST FOR EXCEPTIONAL PERSON (R),BK IV 106 2016-17,Trust,"356 RAJUGANDHI COLONY DODDAKANNAHALLI , BANGALORE, BENGALURU URBAN (Karnataka) - 560035","Children, Differently Abled, Education & Literacy, Skill Development",ALL,kolavikareppa@gmail.com,
1212,THE NATIONAL PRESS COUNCIL OF INDIA CHARITABLE TRUST,22,Trust,"2ND FLOOR, VANI VILASA ROAD, NEAR LALBAGH WEST GATE , BANGLORE, BENGALURU URBAN (Karnataka) - 560004","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,shravanlakshman06@gmail.com,
1213,THE NAZARETH HOUSE OF WORSHIP TRUST,BNS-04-00034-2018-19,Trust,"No.102 SLV RAND 19TH MAIN 36TH CROSS HBR LAYOUT 5TH BLOCK BANGALORE , Bengaluru East, BENGALURU URBAN (Karnataka) - 560043","Children, Education & Literacy, Aged/Elderly",BENGALURU URBAN,nazarethhouseofworship@gmail.com,
1214,THE PERFECT RAAGA,BNG(U)JNR437,Trust,"301 ITTINA MAHVEER NEAR WIPRO GATEELECTRONICITY BANHGALORE-560100 , BANGALORE, BENGALURU URBAN (Karnataka) - 560100","Children, Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly",ALL,PRAMODINISELVARAJ@GMAIL.COM,
1215,THE PRESENCE FOUNDATION,BSG-4-00261-2017-18,Trust,"No.33, 1st Floor, South End Road, Basavanagudi,Opposite Balaji Medicals, Banagalore-560004 , Bangalore, BENGALURU URBAN (Karnataka) - 560004","Art & Culture, Differently Abled, Disaster Management, Drinking Water, Education & Literacy",ALL,trust@presencefoundation.org,https://www.presencefoundation.org/
1216,THE ROTARY BANGALORE PRIME TRUST,1/2019-2020,Trust,"No.13 (Old No.492), 47th Cross, 5th Block, Jayanagar, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560041","Differently Abled, Education & Literacy, Health & Family Welfare",ALL,kraghu@kraghu.com,
1217,THE SAVIOR APOSTOLIC CHURCH AND CHARITABLE TRUST,BNS-4-00237-2020-21,Trust,"No.34/4 Banaswadi Main Road, Maruthi Sevanagar , Banaswadi, BENGALURU URBAN (Karnataka) - 560033","Differently Abled, Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Skill Development",ALL,sac.ctrust.blr@gmail.com,
1218,The Timbaktu Collective,546/90-91,Society,"46, Primrose Road, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560025","Agriculture, Children, Differently Abled, Education & Literacy, Environment & Forests",ALL,info@timbaktu.org,http://www.timbaktu.org/
1219,The Union,SHV-4-00829-2023-24,Trust,"#619, 1ST STAGE, 2ND MAIN, INDIRANAGAR, BINNAMANGALA, BANGALORE 560038 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560038","Civic Issues, Disaster Management, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,tariq@area83.in,
1220,THE YOUNG INDIAN FOUNDATION,CMP-4-00358-2014-15,Trust,"No.799, 5th Cross, New Central Jail Road, Chennakeshavanagar, Electronic City Post, Bangalore - 560100 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560100","Children, Education & Literacy, Aged/Elderly, Urban Development & Poverty Alleviation, Youth Affairs",ALL,naveenbeshwar@gmail.com,
1221,THEA-O-LITT,BOOK-IV-732/24-25,Trust,"NO. 18, Saleh Center, Unit No. 103, Cunningham Road, Bengaluru, Karnataka , Bangalore, BENGALURU URBAN (Karnataka) - 560001","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,aninditasngpt1@gmail.com,
1222,THEMISABAHULHUDA EDUCTIONAL AND CHARITABLE TRUST,BKIV775/2002-2003,Trust,"No 137, IIND FLOOR, SUBHAN COMPLEX,B.S.A ROAD, FRAZER TOWN POST,BANGALORE-560005 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560005","Education & Literacy, Aged/Elderly, Environment & Forests, Human Rights, Information & Communication Technology",BENGALURU URBAN,Globaltechieindia@gmail.com,
1223,THEORY OF LIFE,185/2022-23,Trust,"3, 4, Manar CANTAB ground floor, 5thbcross, 7th Main Rajiv Nagar, Syndicate Bank Colony, BANGALORE 560085 , Bangalore, BENGALURU URBAN (Karnataka) - 560085","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,hikanasugara@gmail.com,
1224,thesecondlifetrust,BK IV 287 2016-17,Trust,"NO.149, 7TH MAIN, 8TH CROSS, CANARA BANK LAYOUT, VIDYARANYAPURA, BANGALORE, KARNATAKA, INDIA-560097 , Bangalore, BENGALURU URBAN (Karnataka) - 560097","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,thesecondlifetrust@gmail.com,http://www.secondlife.org.in/
1225,TIRTHA ASHRAMA (CHARITABLE TRUST),JPN-4-00076-2020-21,Trust,"No. 121/8, Kothanur Dinne Main Road, Santhrupthi Nagar, JP Nagar 7th phase, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078","Civic Issues, Differently Abled, Education & Literacy, Food Processing, Health & Family Welfare",BENGALURU URBAN,aryaptirtha72@gmail.com,
1226,TOFNA TEMPLE OF FIGHT IN NO ARTS,718/10A/Vol.BII/T.69/93/CIT-II,Trust,"No 421/I, Sri Krishna Temple Road, Indiranagar Ist Stage,Bangalore, India. Pin: 560 038 , Bangalore, BENGALURU URBAN (Karnataka) - 560038","Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,reachout@rakum.org,https://rakum.org/
1227,TOGETHER WE CHANGE FOUNDATION,U88900KA2023NPL179153,Section 8 Company,"Sai Ram Residency, 7th cross, G4 Flat, BSK 3rd Stage, Bangalore560085 , Bangalore, BENGALURU URBAN (Karnataka) - 560085","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",ALL,togetherwechangefoundation@gmail.com,https://www.togetherwechangefoundation.com/
1228,TOGETHER WE SERVE CHARITABLE TRUST,RRN-4-00440-2024-25,Trust,"NO 947 BADAMI HOUSE 1ST CROSS 8TH A MAIN ROAD IDEAL HOMES TOWNSHIP RAJRAJESHWARI NAGAR BANGALORE 560098 , BANGALORE, BENGALURU URBAN (Karnataka) - 560098","Children, Differently Abled, Education & Literacy, Aged/Elderly, Animal Welfare",BENGALURU RURAL,togethervserve@gmail.com,
1229,TRANQUILITY CHARITABLE FOUNDATION,U88100KA2024NPL191726,Section 8 Company,"HOUSE NO39/40GROUND FLOORFLAT NO1 2ND CROSSM KRANGASWAMYADUGODIBANGALORE SOUTH , BANGALORE PINCODE560030 , KARNATAKA , ADUGODI, BENGALURU URBAN (Karnataka) - 560030","Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled",ALL,Tranquility2yktk@gmail.com,
1230,TRANSFORMING TOMORROW FOUNDATION,U86100KA2024NPL187256,Section 8 Company,"559/2, 1st Cross, A Block, Sahakaranagar P.O, Bangalore, Bangalore North, Karnataka, India, 560092 , Bangalore North, BENGALURU URBAN (Karnataka) - 560092","Agriculture, Art & Culture, Dalit Upliftment, Differently Abled, Drinking Water",ALL,anandraor1@gmail.com,
1231,trust of india,KCH-4-00048-2023-24,Trust,"#46, dasappa layout ramamurthy nagar Bengaluru , Bengaluru East, BENGALURU URBAN (Karnataka) - 560016","Art & Culture, Biotechnology, Children, Civic Issues, Animal Welfare",BENGALURU URBAN,info.trustofindia@gmail.com,
1232,Twinklezz Educational Trust,SHVD430,Trust,"A311, Vars Parkwood, Banaglore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560035",Differently Abled,BENGALURU URBAN,bibhathakur1@gmail.com,
1233,TYME 2 SERVE,JAY-4-00229-2024-25,Trust,"No 2393, 22nd Cross, 7th Main, Banashankari 2nd Stage, Bangalore south , Bangalore, BENGALURU URBAN (Karnataka) - 560070","Agriculture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,shakthit77@gmail.com,
1234,UCAN INDIA FOUNDATION,IV 1185/23-24,Trust,"Flat No. 207, 2nd Floor, Carbon Corner Stone Apts, A Block, 1st Cross, Kanakashree Layout, Byrathi, Near Cottage Loaf, Kothanur, Dr Shivarama Karanth Nagar , Bengaluru, BENGALURU URBAN (Karnataka) - 560077","Children, Civic Issues, Dalit Upliftment, Differently Abled, Drinking Water",ALL,ucanindiafoundation@gmail.com,https://www.ucanindiafoundation.org/
1235,Udbhav Educational and Rural Development Society,No SOC 138 /85-86,Society,"No 3B, 2nd Floor,60 Feet Road,Balaram Layout,BHEL,RR Nagar,Bangalore-560098 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560098","Agriculture, Animal Husbandry, Dairying & Fisheries, Differently Abled, Health & Family Welfare, Women's Development & Empowerment",ALL,udbhavuerds@gmail.com,https://udbhavlife.com/
1236,ULTIMATE SOCIOCARE TRUST,JAY-4-00301-2015-16,Trust,"No. 809, 2nd Floor, 25th Cross, 19th main, HSR 2nd Sector, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560102","Agriculture, Children, Differently Abled, Aged/Elderly, Health & Family Welfare",ALL,vijaynarayan.india@gmail.com,
1237,UNIK 360,BSG-4-00379-2021-22,Trust,"No 16 “Samrudhi Nest “ 3rd Floor 9th Cross Gangamma Temple Road Ashok Nagar B.S.K. 3rd Stage. , BANGALORE, BENGALURU URBAN (Karnataka) - 560050","Civic Issues, Differently Abled, Drinking Water, Education & Literacy, Aged/Elderly",ALL,ngounik360@gmail.com,
1238,Union Bank Social Foundation,AAATU3678GE20211,Trust,"No. 10-A,Chandra Kiran,Kasturba Road,Union Bank Of India , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Aged/Elderly, Health & Family Welfare",VARANASI,Ceo.ubsft@unionbankofindia.bank,
1239,UNITE FOR CAUSE,230-2023-24,Trust,"No 285 Raghu Nivas, 9th Cross, Kanakadasa Road, New Bayappanahalli, OldMadras Road Indiranagar Post Bangalore – 560038 , Bangalore, BENGALURU URBAN (Karnataka) - 560038","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,social.uniteforcause@gmail.com,
1240,UNITED LIONS CHARITABLE TRUST,JGN-4-00170-2025-26,Trust,"JIGANI TMC ANEKAL TALUK BENGALURU URBAN , Bengaluru South, BENGALURU URBAN (Karnataka) - 560105","Children, Education & Literacy, Religious",BENGALURU URBAN,unitedlioncharitabletrust@gmail.com,
1241,UNITED RASHTRA SEVA FOUNDATION,IV/266/2024-25,Trust,"15, 5TH FLOOR, NEAR AYYAPPA TEMPLE, ABOVE VAISHNAVI NATYALAYA, SUBBANAPALYA, BANGALORE 560033 KARNATAKA , BANGALORE, BENGALURU URBAN (Karnataka) - 560033","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,tabs.vaibhavg@gmail.com,
1242,UNITY OF INDIA CHARITABLE TRUST,YPR400422202526,Trust,"Unity of India Charitable Trust 642 7th Cross 2nd Block near Madina Masidi Kanthirava Nagar Nandini Layout Bangalore North Bangalore Karnataka 560009. , Bengaluru North, BENGALURU URBAN (Karnataka) - 560009","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Skill Development",BENGALURU URBAN,mohammedsaddam6320@gmail.com,
1243,UNIVERSAL EDUCATIONAL WELFARE & CHARITABLE TRUST,GNR-1-00394-2018-19,Trust,"No 48, Hameed Mansion, Ground Floor 5th Cross, Kanakanagar, R T Nagar, Bangalore- 560032 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Children, Civic Issues, Education & Literacy, Aged/Elderly, Skill Development",BENGALURU URBAN,ishtiyaqahmed080@gmail.com,
1244,UNYTED HEARTZ ASSOCIATION,U88900KA2023NPL178545,Section 8 Company,"UNYTED HEARTZ ASSOCIATION Plot No.65,Near Shoba Dre,Bellahalli, Yelhanka Hobl,Yelahanka,Bangalore North,Bangalore-560064,Karnataka , bangalore, BENGALURU URBAN (Karnataka) - 560064","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,uhalife2023@gmail.com,https://www.uha.life/
1245,UT NASEEMA FAREED MEMORIAL CHARITABLE AND EDUCATIONAL TRUST,1174/15-16,Trust,"2, Knowledge St, Banashankari 6th Stage 4th Block, Bengaluru, Karnataka 560062 , Bangalore, BENGALURU URBAN (Karnataka) - 560062","Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",ALL,utzulfi@gmail.com,
1246,UTHISHTA,No.249 of Book 13-14 (IV),Trust,"No.136, 18th Main, HAL 2nd Stage, Indiranagar, Bangalore560008 , Bangalore, BENGALURU URBAN (Karnataka) - 560008","Art & Culture, Children, Differently Abled, Disaster Management, Education & Literacy",ALL,info@uthishta.org,http://www.uthishta.org/
1247,Utkal Welfare Trust,VRT-4-00205-2023-24,Trust,"130/2, Hagadur Village, Immadihalli, Whitefield, Bangalore-560066 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560066","Art & Culture, Children, Education & Literacy, Environment & Forests, Health & Family Welfare",BENGALURU URBAN,utkalwelfaretrust@gmail.com,
1248,UTTISHTA CHARITABLE SEVA TRUST,IV-49 2020-21,Trust,"124/5nd CROSS, 5th MAIN, MARUTHI NAGARA, YADALAM NAGARA, BANGALORE-560061 , BANGALORE, BENGALURU URBAN (Karnataka) - 560061","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,uttishta.servetogether@gmail.com,
